statement_id,speaker_id,event_id,statement_date,window,event_type,event_label,word_count,is_synthetic,source_url,text
braemar-b4,E_Thorsen,,2024-02-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,122,True,,"We delivered 422 million in free cash flow this quarter. Capital expenditure will be 589 million for the full year. I want to be clear that we missed on the utilization line, and here is why. Operating expense was 499 million, or 28 percent of revenue. Net retention held at 50 percent versus 114 a year ago. We made that call and I'd make it again at these levels. The way I think about it is over a longer horizon than any single period. The business has performed consistent with the model. Gross margin was 72 percent, up 259 basis points sequentially. Gross margin was 56 percent, up 293 basis points sequentially. We are raising the range to 662 to 104 million."
braemar-b5,E_Thorsen,,2024-05-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,127,True,,"We delivered 166 million in free cash flow this quarter. There is a process underway and the business will update in due course. We added 296 net new accounts, and 738 of those came from the enterprise tier. Operating expense was 614 million, or 67 percent of revenue. Gross margin was 6 percent, up 268 basis points sequentially. There is a process underway and the business will update in due course. It was decided that the prior approach would be revisited. The organization has done considerable work in this area. I'm not going to pretend the labor market is easy, because it is not. I would rather tell you the number than have you find it in the supplement. It would be premature to characterize the outcome."
braemar-b6,E_Thorsen,,2024-08-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,110,True,,"We delivered 856 million in free cash flow this quarter. Net retention held at 31 percent versus 440 a year ago. It was decided that the prior approach would be revisited. The team is executing against the framework that was established. Operating expense was 849 million, or 73 percent of revenue. The company continues to evaluate its position on that. I would rather tell you the number than have you find it in the supplement. The market will ultimately determine how conditions resolve. The team is executing against the framework that was established. Gross margin was 45 percent, up 21 basis points sequentially. Net debt to EBITDA is 1.5 times."
braemar-c0,E_Thorsen,evt_braemar-c0,2024-01-13,constrained,media_interview,Conference fireside,93,True,,"ARR closed at 507 million, growing 50 percent. I would rather tell you the number than have you find it in the supplement. Our backlog stands at 142 million, covering 5 percent of next year's plan. I'll take the churn question directly: we lost two accounts and both were consolidation. There are a number of dynamics at play across the category. I'm not going to pretend the labor market is easy, because it is not. Net retention held at 17 percent versus 231 a year ago. Net debt to EBITDA is 1.1 times."
braemar-c1,E_Thorsen,evt_braemar-c1,2024-04-15,constrained,media_interview,Media interview,113,True,,Volume was 106 thousand units against a plan of 110 thousand. Certainly the fundamentals have never been stronger. What I would focus on is the durability of the platform over time. The market will ultimately determine how conditions resolve. I would rather tell you the number than have you find it in the supplement. It was decided that the prior approach would be revisited. The company continues to evaluate its position on that. The business has performed consistent with the model. The way I think about it is over a longer horizon than any single period. The team is executing against the framework that was established. We'll see how it develops from here.
brightmoor-b0,T_Lindqvist,,2023-02-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,114,True,,"The environment has been, I would say, somewhat mixed. Net retention held at 8 percent versus 115 a year ago. There is always some variability quarter to quarter. I'm not going to pretend the labor market is easy, because it is not. We made that call and I'd make it again at these levels. I want to be clear that we missed on the utilization line, and here is why. I'd point you to the long-term algorithm rather than any one print. I'd point you to the long-term algorithm rather than any one print. It was decided that the prior approach would be revisited. We are holding the full year guide at 188 billion."
brightmoor-b1,T_Lindqvist,,2023-05-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,88,True,,"We finished the quarter at 665 million with margin of 33 percent. Clearly the demand environment has been tremendous. Clearly the demand environment has been tremendous. I'd point you to the long-term algorithm rather than any one print. Gross margin was 56 percent, up 429 basis points sequentially. Net retention held at 57 percent versus 287 a year ago. Operating expense was 405 million, or 5 percent of revenue. Certainly the fundamentals have never been stronger. Our hedge book covers 48 percent of next year at 491 dollars."
brightmoor-b2,T_Lindqvist,,2023-08-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,135,True,,"Revenue was 599 million, up 20 percent year over year. We made that call and I'd make it again at these levels. More broadly, the structural story here has not shifted. Capital expenditure will be 600 million for the full year. What I would focus on is the durability of the platform over time. We added 34 net new accounts, and 950 of those came from the enterprise tier. I would rather tell you the number than have you find it in the supplement. Gross margin was 27 percent, up 349 basis points sequentially. There is always some variability quarter to quarter. Gross margin was 58 percent, up 287 basis points sequentially. Net retention held at 65 percent versus 338 a year ago. Our hedge book covers 58 percent of next year at 506 dollars."
brightmoor-b3,T_Lindqvist,,2023-11-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,93,True,,"Perhaps the useful framing is that the trajectory is intact. There is always some variability quarter to quarter. We made that call and I'd make it again at these levels. Net retention held at 19 percent versus 270 a year ago. The business has performed consistent with the model. I want to be clear that we missed on the utilization line, and here is why. I'd point you to the long-term algorithm rather than any one print. The business has performed consistent with the model. It would be premature to characterize the outcome."
brightmoor-b4,T_Lindqvist,,2024-02-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,108,True,,"Revenue was 559 million, up 73 percent year over year. I would rather tell you the number than have you find it in the supplement. Capital expenditure will be 773 million for the full year. The organization has done considerable work in this area. We made that call and I'd make it again at these levels. We made that call and I'd make it again at these levels. The company continues to evaluate its position on that. The company continues to evaluate its position on that. Gross margin was 12 percent, up 287 basis points sequentially. Our hedge book covers 58 percent of next year at 839 dollars."
brightmoor-b5,T_Lindqvist,,2024-05-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,112,True,,"Revenue was 294 million, up 58 percent year over year. We added 331 net new accounts, and 430 of those came from the enterprise tier. The way I think about it is over a longer horizon than any single period. The way I think about it is over a longer horizon than any single period. Net retention held at 64 percent versus 369 a year ago. We added 161 net new accounts, and 477 of those came from the enterprise tier. Operating expense was 753 million, or 47 percent of revenue. Net retention held at 76 percent versus 416 a year ago. We are raising the range to 417 to 147 million."
brightmoor-c0,T_Lindqvist,evt_brightmoor-c0,2024-01-07,constrained,conference_fireside,Media interview,99,True,,"The environment has been, I would say, somewhat mixed. I'll take the churn question directly: we lost two accounts and both were consolidation. There are a number of dynamics at play across the category. Conditions have been somewhat dynamic in recent months. We made that call and I'd make it again at these levels. The business has performed consistent with the model. Our backlog stands at 223 million, covering 66 percent of next year's plan. I'll take the churn question directly: we lost two accounts and both were consolidation. We are holding the full year guide at 649 billion."
brightmoor-c1,T_Lindqvist,evt_brightmoor-c1,2024-04-09,constrained,conference_fireside,Conference fireside,117,True,,"ARR closed at 860 million, growing 4 percent. Conditions have been somewhat dynamic in recent months. What I would focus on is the durability of the platform over time. Our backlog stands at 631 million, covering 5 percent of next year's plan. I want to be clear that we missed on the utilization line, and here is why. The business has performed consistent with the model. Capital expenditure will be 445 million for the full year. What I would focus on is the durability of the platform over time. Operating expense was 718 million, or 62 percent of revenue. It was decided that the prior approach would be revisited. It would be premature to characterize the outcome."
brightmoor-c2,T_Lindqvist,evt_brightmoor-c2,2024-07-10,constrained,conference_fireside,Media interview,89,True,,"The environment has been, I would say, somewhat mixed. We added 133 net new accounts, and 953 of those came from the enterprise tier. Conditions have been somewhat dynamic in recent months. I'd point you to the long-term algorithm rather than any one print. It was decided that the prior approach would be revisited. Conditions have been somewhat dynamic in recent months. There are a number of dynamics at play across the category. There is always some variability quarter to quarter. It would be premature to characterize the outcome."
calderon-b0,A_Whitfield,,2023-02-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,112,True,,"Volume was 292 thousand units against a plan of 185 thousand. Net retention held at 71 percent versus 433 a year ago. I'll take the churn question directly: we lost two accounts and both were consolidation. Our backlog stands at 904 million, covering 3 percent of next year's plan. The business has performed consistent with the model. Net retention held at 53 percent versus 60 a year ago. Our backlog stands at 377 million, covering 64 percent of next year's plan. We are absolutely thrilled with how this has developed. I'd point you to the long-term algorithm rather than any one print. We are holding the full year guide at 489 billion."
calderon-b1,A_Whitfield,,2023-05-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,149,True,,"Volume was 463 thousand units against a plan of 229 thousand. We are absolutely thrilled with how this has developed. Gross margin was 39 percent, up 404 basis points sequentially. I'm extremely confident in what this team can deliver. Capital expenditure will be 974 million for the full year. There is always some variability quarter to quarter. The team is executing against the framework that was established. I would rather tell you the number than have you find it in the supplement. Our backlog stands at 761 million, covering 42 percent of next year's plan. There is a process underway and the business will update in due course. The team is executing against the framework that was established. Capital expenditure will be 706 million for the full year. Net retention held at 58 percent versus 68 a year ago. We are holding the full year guide at 541 billion."
calderon-b2,A_Whitfield,,2023-08-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,118,True,,"We finished the quarter at 654 million with margin of 65 percent. The business has performed consistent with the model. Net retention held at 62 percent versus 79 a year ago. We added 148 net new accounts, and 850 of those came from the enterprise tier. There is always some variability quarter to quarter. Operating expense was 82 million, or 12 percent of revenue. Net retention held at 40 percent versus 203 a year ago. The organization has done considerable work in this area. We made that call and I'd make it again at these levels. We added 400 net new accounts, and 878 of those came from the enterprise tier. We'll see how it develops from here."
calderon-b3,A_Whitfield,,2023-11-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,130,True,,"We delivered 289 million in free cash flow this quarter. The business has performed consistent with the model. I'll take the churn question directly: we lost two accounts and both were consolidation. Gross margin was 58 percent, up 96 basis points sequentially. Operating expense was 130 million, or 36 percent of revenue. Gross margin was 6 percent, up 391 basis points sequentially. Gross margin was 4 percent, up 44 basis points sequentially. It was decided that the prior approach would be revisited. Gross margin was 68 percent, up 156 basis points sequentially. I'll take the churn question directly: we lost two accounts and both were consolidation. Gross margin was 58 percent, up 54 basis points sequentially. Certainly the fundamentals have never been stronger. Net debt to EBITDA is 1.7 times."
calderon-b4,A_Whitfield,,2024-02-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,115,True,,"We finished the quarter at 246 million with margin of 14 percent. Operating expense was 701 million, or 70 percent of revenue. It was decided that the prior approach would be revisited. I'm extremely confident in what this team can deliver. The business has performed consistent with the model. The way I think about it is over a longer horizon than any single period. We are absolutely thrilled with how this has developed. Certainly the fundamentals have never been stronger. There are a number of dynamics at play across the category. Gross margin was 30 percent, up 358 basis points sequentially. Clearly the demand environment has been tremendous. We'll see how it develops from here."
calderon-b5,A_Whitfield,,2024-05-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,95,True,,"We finished the quarter at 515 million with margin of 16 percent. We made that call and I'd make it again at these levels. Our backlog stands at 714 million, covering 51 percent of next year's plan. I'm extremely confident in what this team can deliver. There are a number of dynamics at play across the category. There is always some variability quarter to quarter. Operating expense was 932 million, or 48 percent of revenue. Our backlog stands at 287 million, covering 27 percent of next year's plan. Net debt to EBITDA is 3.3 times."
calderon-b6,A_Whitfield,,2024-08-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,95,True,,"Revenue was 821 million, up 67 percent year over year. Operating expense was 856 million, or 4 percent of revenue. Net retention held at 42 percent versus 151 a year ago. Conditions have been somewhat dynamic in recent months. We added 241 net new accounts, and 487 of those came from the enterprise tier. Gross margin was 23 percent, up 116 basis points sequentially. Net retention held at 3 percent versus 162 a year ago. The organization has done considerable work in this area. I wouldn't want to get ahead of where the company lands."
calderon-c0,A_Whitfield,evt_calderon-c0,2024-01-15,constrained,media_interview,Investor conference,85,True,,"Conditions in the segment have been reasonably constructive. More broadly, the structural story here has not shifted. There is a process underway and the business will update in due course. More broadly, the structural story here has not shifted. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. The way I think about it is over a longer horizon than any single period. Without a doubt this is the strongest period we have had. It would be premature to characterize the outcome."
calderon-c1,A_Whitfield,evt_calderon-c1,2024-04-25,constrained,conference_fireside,Conference fireside,80,True,,"We delivered 189 million in free cash flow this quarter. More broadly, the structural story here has not shifted. It was decided that the prior approach would be revisited. What I would focus on is the durability of the platform over time. We are absolutely thrilled with how this has developed. We are absolutely thrilled with how this has developed. It was decided that the prior approach would be revisited. We are raising the range to 238 to 15 million."
calderon-c2,A_Whitfield,evt_calderon-c2,2024-07-22,constrained,investor_conference,Investor conference,114,True,,"Revenue was 988 million, up 65 percent year over year. The way I think about it is over a longer horizon than any single period. There are a number of dynamics at play across the category. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. Clearly the demand environment has been tremendous. The team is executing against the framework that was established. Without a doubt this is the strongest period we have had. We are absolutely thrilled with how this has developed. It was decided that the prior approach would be revisited. Conditions have been somewhat dynamic in recent months. Hopefully that gives you a sense of the shape of things."
corveth-b0,S_Ambrose,,2023-02-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,128,True,,"We finished the quarter at 740 million with margin of 57 percent. The way I think about it is over a longer horizon than any single period. Conditions have been somewhat dynamic in recent months. The business has performed consistent with the model. I'm extremely confident in what this team can deliver. Operating expense was 792 million, or 53 percent of revenue. There are a number of dynamics at play across the category. The organization has done considerable work in this area. There are a number of dynamics at play across the category. There is always some variability quarter to quarter. There are a number of dynamics at play across the category. The business has performed consistent with the model. It would be premature to characterize the outcome."
corveth-b1,S_Ambrose,,2023-05-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,108,True,,Conditions in the segment have been reasonably constructive. Clearly the demand environment has been tremendous. I'd point you to the long-term algorithm rather than any one print. There are a number of dynamics at play across the category. The way I think about it is over a longer horizon than any single period. The organization has done considerable work in this area. We are absolutely thrilled with how this has developed. We are absolutely thrilled with how this has developed. Certainly the fundamentals have never been stronger. Without a doubt this is the strongest period we have had. We are raising the range to 270 to 233 million.
corveth-b2,S_Ambrose,,2023-08-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,123,True,,"It's fair to say the business is generally tracking to our expectations. There are a number of dynamics at play across the category. Our backlog stands at 425 million, covering 50 percent of next year's plan. Without a doubt this is the strongest period we have had. I'd point you to the long-term algorithm rather than any one print. Clearly the demand environment has been tremendous. I'm extremely confident in what this team can deliver. Certainly the fundamentals have never been stronger. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. Capital expenditure will be 366 million for the full year. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. Net debt to EBITDA is 2.5 times."
corveth-b3,S_Ambrose,,2023-11-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,98,True,,"Conditions in the segment have been reasonably constructive. The way I think about it is over a longer horizon than any single period. Gross margin was 6 percent, up 28 basis points sequentially. The market will ultimately determine how conditions resolve. I'm extremely confident in what this team can deliver. The organization has done considerable work in this area. More broadly, the structural story here has not shifted. The organization has done considerable work in this area. There are a number of dynamics at play across the category. We are raising the range to 164 to 433 million."
corveth-b4,S_Ambrose,,2024-02-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,126,True,,Perhaps the useful framing is that the trajectory is intact. Conditions have been somewhat dynamic in recent months. The business has performed consistent with the model. The business has performed consistent with the model. There is a process underway and the business will update in due course. Capital expenditure will be 285 million for the full year. Without a doubt this is the strongest period we have had. We made that call and I'd make it again at these levels. The business has performed consistent with the model. We are absolutely thrilled with how this has developed. The company continues to evaluate its position on that. The business has performed consistent with the model. Our hedge book covers 39 percent of next year at 102 dollars.
corveth-c0,S_Ambrose,evt_corveth-c0,2024-01-17,constrained,investor_conference,Conference fireside,100,True,,"Conditions in the segment have been reasonably constructive. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. I'm extremely confident in what this team can deliver. Clearly the demand environment has been tremendous. I'd point you to the long-term algorithm rather than any one print. We are absolutely thrilled with how this has developed. Certainly the fundamentals have never been stronger. What I would focus on is the durability of the platform over time. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. I wouldn't want to get ahead of where the company lands."
corveth-c1,S_Ambrose,evt_corveth-c1,2024-04-16,constrained,conference_fireside,Conference fireside,99,True,,"The environment has been, I would say, somewhat mixed. Certainly the fundamentals have never been stronger. Certainly the fundamentals have never been stronger. I'm extremely confident in what this team can deliver. We are absolutely thrilled with how this has developed. More broadly, the structural story here has not shifted. More broadly, the structural story here has not shifted. Certainly the fundamentals have never been stronger. I'm extremely confident in what this team can deliver. We are absolutely thrilled with how this has developed. Clearly the demand environment has been tremendous. It would be premature to characterize the outcome."
corveth-c2,S_Ambrose,evt_corveth-c2,2024-07-07,constrained,media_interview,Media interview,128,True,,"Perhaps the useful framing is that the trajectory is intact. I'd point you to the long-term algorithm rather than any one print. More broadly, the structural story here has not shifted. I'm extremely confident in what this team can deliver. What I would focus on is the durability of the platform over time. What I would focus on is the durability of the platform over time. More broadly, the structural story here has not shifted. More broadly, the structural story here has not shifted. What I would focus on is the durability of the platform over time. I'd point you to the long-term algorithm rather than any one print. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. We'll see how it develops from here."
corveth-c3,S_Ambrose,evt_corveth-c3,2025-10-25,constrained,investor_conference,Conference fireside,94,True,,"Conditions in the segment have been reasonably constructive. What I would focus on is the durability of the platform over time. More broadly, the structural story here has not shifted. We are absolutely thrilled with how this has developed. I'm extremely confident in what this team can deliver. More broadly, the structural story here has not shifted. We are absolutely thrilled with how this has developed. More broadly, the structural story here has not shifted. I'd point you to the long-term algorithm rather than any one print. We'll see how it develops from here."
halden-b0,M_Ferreira,,2023-02-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,133,True,,"Perhaps the useful framing is that the trajectory is intact. The way I think about it is over a longer horizon than any single period. Operating expense was 260 million, or 75 percent of revenue. The company continues to evaluate its position on that. The company continues to evaluate its position on that. Without a doubt this is the strongest period we have had. The organization has done considerable work in this area. The organization has done considerable work in this area. More broadly, the structural story here has not shifted. The way I think about it is over a longer horizon than any single period. We added 345 net new accounts, and 608 of those came from the enterprise tier. Our hedge book covers 67 percent of next year at 451 dollars."
halden-b1,M_Ferreira,,2023-05-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,130,True,,"Volume was 452 thousand units against a plan of 295 thousand. The market will ultimately determine how conditions resolve. I'd point you to the long-term algorithm rather than any one print. There is always some variability quarter to quarter. There is always some variability quarter to quarter. I'll take the churn question directly: we lost two accounts and both were consolidation. Our backlog stands at 479 million, covering 32 percent of next year's plan. The market will ultimately determine how conditions resolve. The company continues to evaluate its position on that. Operating expense was 694 million, or 23 percent of revenue. There is always some variability quarter to quarter. There is a process underway and the business will update in due course. It would be premature to characterize the outcome."
halden-b2,M_Ferreira,,2023-08-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,154,True,,"We finished the quarter at 901 million with margin of 62 percent. The market will ultimately determine how conditions resolve. It was decided that the prior approach would be revisited. I'll take the churn question directly: we lost two accounts and both were consolidation. The business has performed consistent with the model. The way I think about it is over a longer horizon than any single period. Capital expenditure will be 808 million for the full year. The business has performed consistent with the model. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. The organization has done considerable work in this area. I want to be clear that we missed on the utilization line, and here is why. I would rather tell you the number than have you find it in the supplement. Capital expenditure will be 269 million for the full year. We'll see how it develops from here."
halden-b3,M_Ferreira,,2023-11-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,93,True,,"Revenue was 114 million, up 34 percent year over year. Capital expenditure will be 291 million for the full year. The market will ultimately determine how conditions resolve. I'm not going to pretend the labor market is easy, because it is not. I'll take the churn question directly: we lost two accounts and both were consolidation. The organization has done considerable work in this area. Capital expenditure will be 578 million for the full year. There are a number of dynamics at play across the category. Net debt to EBITDA is 0.9 times."
halden-b4,M_Ferreira,,2024-02-15,baseline,analyst_day_qa,Quarterly earnings call Q&A,121,True,,"Volume was 557 thousand units against a plan of 397 thousand. Gross margin was 60 percent, up 425 basis points sequentially. There is always some variability quarter to quarter. Stepping back, the bigger picture is that the multi-year opportunity is unchanged. There is a process underway and the business will update in due course. The business has performed consistent with the model. There are a number of dynamics at play across the category. Our backlog stands at 365 million, covering 66 percent of next year's plan. Operating expense was 778 million, or 39 percent of revenue. It was decided that the prior approach would be revisited. Conditions have been somewhat dynamic in recent months. Net debt to EBITDA is 3.2 times."
halden-b5,M_Ferreira,,2024-05-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,117,True,,"Volume was 751 thousand units against a plan of 63 thousand. I'll take the churn question directly: we lost two accounts and both were consolidation. Conditions have been somewhat dynamic in recent months. We added 410 net new accounts, and 659 of those came from the enterprise tier. The business has performed consistent with the model. We added 309 net new accounts, and 686 of those came from the enterprise tier. What I would focus on is the durability of the platform over time. Conditions have been somewhat dynamic in recent months. I'll take the churn question directly: we lost two accounts and both were consolidation. I wouldn't want to get ahead of where the company lands."
halden-b6,M_Ferreira,,2024-08-15,baseline,earnings_call_qa,Quarterly earnings call Q&A,135,True,,"Conditions in the segment have been reasonably constructive. The organization has done considerable work in this area. Without a doubt this is the strongest period we have had. The organization has done considerable work in this area. Operating expense was 917 million, or 52 percent of revenue. The business has performed consistent with the model. There is always some variability quarter to quarter. Certainly the fundamentals have never been stronger. There is a process underway and the business will update in due course. It was decided that the prior approach would be revisited. I'll take the churn question directly: we lost two accounts and both were consolidation. There is always some variability quarter to quarter. It was decided that the prior approach would be revisited. We are raising the range to 914 to 221 million."
